;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;cluster
Bausa - Was Du Liebe nennst;88;619;1052;1737;2770;3190;3164;3465;3653;3496;3595;3492;3425;3586;3439;3591;3249;3083;3039;3108;2892;2406;2219;5
Johannes Oerding - An guten Tagen;687;1091;1392;1331;1644;1949;2536;2908;2978;3346;3653;3715;3721;4154;3864;3909;3864;3934;4110;4142;4057;4185;4104;5
Katy Perry - Never Really Over;1694;2726;3269;3988;4496;4677;4708;5371;5249;5125;5461;4932;4308;3461;2824;2351;1343;1214;1002;879;823;617;637;5
Lady Gaga, Bradley Cooper - Shallow;509;893;1353;1665;2098;2491;2914;3537;3924;4264;4322;4886;5288;5542;5699;5491;5544;4860;4269;4577;4328;4406;3866;5
Lauv & Anne-Marie - Fuck, I'm Lonely;848;1506;2321;2768;3541;4165;3562;3617;3532;3326;3520;3341;3159;2989;2624;1605;1337;1010;988;834;539;469;454;5
Lotte & Max Giesinger - Auf das, was da noch kommt;1177;2050;3275;3949;4048;4485;4692;5296;5302;5426;5430;5511;5510;5471;5275;5111;4197;3867;3836;4141;3953;3803;3795;5
Mark Forster - Einmal;1634;2269;2870;3460;3645;3614;4272;4925;4993;5786;6160;5913;5680;6284;6172;5737;5188;4677;3665;3378;3097;2534;2381;5
Sam Smith - How Do You Sleep?;1217;2122;2939;3266;3730;3679;3930;3842;4250;4464;4609;4661;4411;4226;3740;3801;3464;3076;2570;2439;1850;1530;1632;5
Taylor Swift - You Need To Calm Down;1217;2244;2449;3004;3261;3588;3439;3871;4078;4346;4191;4149;4210;3818;3667;3383;2800;2728;2430;1973;1248;1146;1034;5
Taylor Swift feat. Brendon Urie - Me!;2017;3923;5168;6064;6447;6832;7042;6792;6646;6078;5869;5135;4552;4165;3132;2603;2111;1875;1542;1260;1178;1138;1118;5
Tim Bendzko - Keine Maschine;1335;2092;2501;2640;2775;2584;2996;4340;4243;4423;4347;4174;4244;4222;3878;3887;3610;3449;3267;3041;1782;1472;1390;5
Wincent Weiss - Hier mit dir;753;1132;1586;2521;3444;3750;3801;3768;3918;4127;4236;4427;4579;4620;4485;4714;4718;4377;4645;4614;4432;4209;3667;5
Wincent Weiss - Kaum Erwarten;815;1692;2303;2833;3002;3107;3339;3910;3902;4153;4498;4678;4392;4505;3680;3577;3444;3370;3170;3063;2942;2845;2382;5
27895730;1033;2476;3370;3561;3513;3703;4009;4469;4388;4196;4309;4403;4510;4575;4821;4473;3753;3290;2930;2898;2693;2764;2531;5
27908612;368;629;1265;1729;1896;2234;2534;2748;2960;3077;3417;3849;4205;4107;3651;3685;3549;3118;2791;2441;2376;2188;1947;5
27964655;1190;2100;3176;3768;3892;4255;4512;5149;5094;5240;5260;5309;5299;5283;5082;4918;4020;3671;3667;3933;3767;3616;3601;5
27942625;983;2089;2161;3133;3694;3692;4154;4766;5115;4915;4953;5181;5385;5627;5264;4166;3672;3303;2753;2562;2297;1912;1777;5
27564447;680;1640;2865;3374;3762;4220;4811;5201;5607;6095;6313;5983;5763;5769;5625;5194;4789;4391;4158;4340;4056;3710;3495;5
27920298;1728;2448;2780;2692;2968;3071;2932;3147;3147;3094;3006;2930;3018;3064;3050;2748;2489;2206;1673;1201;1127;925;924;5
27956250;1222;2274;2383;2975;3163;3427;3412;3832;4003;4133;3920;3875;4063;3623;3530;3172;2633;2512;2258;1819;1072;1020;909;5
27546610;764;1818;2327;2689;2960;2825;2828;3040;3407;4486;4438;4749;4824;4781;4774;4989;5048;4736;4682;4904;4546;4202;4132;5
27565080;2683;3282;3409;3430;3546;3612;3787;3484;3047;2854;2843;2640;2575;2507;2753;2868;2836;2731;2542;2352;2285;2128;1969;5
27565081;2644;3223;3244;3228;3324;3267;3418;3111;2714;2519;2475;2290;2275;2185;2433;2548;2485;2401;2224;2077;1992;1805;1677;5
27895677;1055;1912;2554;2546;2707;3172;3101;3308;3424;3472;3414;2761;2630;2396;2105;1905;1775;1679;1427;1335;1169;1006;966;5
27587764;3623;3806;3965;4242;4233;4324;4127;4132;3961;3261;3152;2436;1515;1881;1647;1175;1066;1062;1047;899;961;820;747;5
27575269;650;1413;1638;2033;2712;3597;3885;4269;4442;4518;3957;4711;4951;4954;5218;5475;5121;4787;3855;2825;2359;2532;2280;5
27912082;529;1141;1777;1885;2022;2472;2807;4009;4222;4629;4402;4096;4176;3932;3676;2749;2136;1734;1697;1572;1138;984;1175;5
