;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;cluster
Mathea - 2x;40;150;143;332;368;331;271;271;256;329;286;230;190;168;162;97;106;112;132;144;178;312;327;403;432;343;2
Mitski - Geyser;31;49;45;59;46;39;36;24;11;12;9;8;8;6;18;11;10;7;9;9;8;11;8;10;7;8;2
Moses Sumney - Title Of This Song;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
Nena - In Meinem Leben;9;19;6;14;13;13;5;9;10;15;13;14;10;7;20;13;16;19;14;30;17;20;16;14;28;10;2
Notd feat. Bea Miller - I Wanna Know;56;40;52;26;55;48;203;196;30;80;137;34;52;10;12;10;15;12;10;41;15;15;11;8;11;5;2
Parov Stelar - All Night;25;344;235;274;251;459;700;622;466;425;413;358;234;252;249;192;199;157;139;148;156;177;224;190;179;119;2
Peter Fox - Alles Neu;27;39;33;23;31;24;15;20;16;62;39;50;42;94;44;39;26;36;46;50;20;33;60;44;53;33;2
Pietro Lombardi - Nur Ein Tanz;274;409;401;321;368;327;269;311;198;143;146;137;79;96;90;92;89;99;70;62;67;57;54;56;50;40;2
Pietro Lombardi - PhÃ¤nomenal;305;794;1133;1075;1294;1238;1075;761;727;808;556;480;476;438;398;303;253;232;205;198;187;150;159;138;146;92;2
Rebecca Ferguson - Bones;14;11;24;16;11;1;12;5;5;3;4;1;4;6;10;4;1;0;0;0;0;0;0;0;0;0;2
Robyn - Honey;35;118;111;161;140;180;208;217;280;281;232;190;136;146;143;116;90;80;78;63;47;48;49;55;81;50;2
RosalÃ­a - MALAMENTE (Cap.1: Augurio);55;47;54;72;104;78;66;47;32;31;36;38;71;43;35;41;39;27;25;36;43;55;63;52;61;39;2
Sarah Connor - Ich wÃ¼nsch dir;61;216;13;14;11;7;5;12;9;9;6;242;740;970;1452;1649;1703;1776;1965;2091;2256;2163;2134;1974;1837;1103;2
Shirin David - Fliegst Du mit;255;239;280;227;294;315;178;101;52;29;15;2;5;8;7;22;29;13;7;9;6;5;8;3;5;4;2
Skott - Mermaid;125;137;241;194;124;43;19;21;21;36;10;12;18;16;7;7;12;7;5;7;6;5;4;5;6;3;2
Soleima - Low Life;11;10;82;143;79;114;62;64;71;16;0;0;12;21;12;7;6;6;7;7;8;8;9;7;7;7;2
Superorganism - Everybody Wants To Be Famous;247;453;489;481;452;391;288;281;234;231;223;185;152;134;99;69;64;55;62;57;60;61;72;65;83;53;2
The Script - The Last Time;236;396;567;580;501;416;290;205;145;116;109;105;112;43;63;27;26;37;42;49;21;29;27;20;0;0;2
Xavier Naidoo - Bitte hÃ¶r nicht auf zu trÃ¤umen;38;31;40;27;50;37;48;56;40;43;61;37;34;48;38;42;47;33;43;39;33;35;49;38;32;15;2
Xavier Naidoo - Gute Zeiten (mit MoTrip);555;727;882;648;542;432;444;322;289;225;131;132;111;133;115;116;95;82;78;64;65;77;74;64;71;61;2
Yves Tumor - Applaud;8;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;2
Zhu - Faded;35;54;56;65;127;221;219;207;253;368;497;584;666;747;792;758;816;890;1000;991;993;836;788;696;749;457;2
Alec Benjamin Feat. Alessia Cara - Let Me Down Slowly;89;150;201;148;371;321;322;319;370;624;937;1230;2021;2860;2916;3678;4025;4718;4786;5124;5246;5710;5824;5838;5731;3935;3
Andreas Bourani - Auf uns;68;295;485;584;829;1283;1197;1379;1871;2761;3126;3428;3481;3714;3388;4433;4292;4489;5025;3747;4291;4249;4190;4036;3770;2522;3
David Guetta ft. Bebe Rexha J Balvin - Say My Name;140;80;88;68;473;842;810;799;1024;1443;1911;2561;2523;2887;3318;3755;3947;3901;4009;3630;3268;3367;3380;3259;3007;2091;3
Dj Snake feat. Selena Gomez, Ozuna, Cardi B - Taki Taki;359;870;1332;1657;2242;2431;2560;2899;2617;2588;2318;2411;2267;2329;2185;1933;1948;1957;1777;1666;1397;1320;1327;1345;1166;760;3
